rank ,name ,ELO,title,federation,games,birth_year,INTRANK,ACTIVE,age
165,Sergei Movsesian ,2618,GM,Armenia ,2695,1978,165,,45
166,Rinat Jumabayev ,2617,GM,Kazakhstan ,1145,1989,166,,34
167,Daniel Naroditsky ,2617,GM,United States ,478,1995,167,,28
168,Zhong Zhang ,2617,GM,China ,919,1978,168,,45
169,Benjamin Bok ,2616,GM,Netherlands ,993,1995,169,,28
170,Denis Khismatullin ,2616,GM,Russian Federation ,1528,1984,170,,39
171,Shanglei Lu ,2616,GM,China ,888,1995,171,,28
172,Robert Markus ,2616,GM,Serbia ,1297,1983,172,,40
173,Daniele Vocaturo ,2616,GM,Italy ,1074,1989,173,,34
174,Ildar Khairullin ,2615,GM,Russian Federation ,1083,1990,174,,33
175,Emil Sutovsky ,2615,GM,Israel ,1775,1977,175,,46
176,Neuris Delgado Ramirez ,2614,GM,Paraguay ,415,1981,176,,42
177,Miguel Illescas Cordoba ,2614,GM,Spain ,1402,1965,177,,58
178,Murali Karthikeyan ,2613,GM,India ,677,1999,178,,24
179,Georg Meier ,2613,GM,Uruguay ,1322,1987,179,,36
180,Sergey A Fedorchuk ,2612,GM,Ukraine ,1816,1981,180,,42
181,Aram Hakobyan ,2612,GM,Armenia ,485,2001,181,,22
182,Volodymyr Onyshchuk ,2612,GM,Ukraine ,1085,1991,182,,32
183,Abhimanyu Puranik ,2612,GM,India ,539,2000,183,,23
184,Nigel D Short ,2612,GM,United Kingdom ,2875,1965,184,,58
185,Tamas Banusz ,2611,GM,Hungary ,1303,1989,185,,34
186,Ante Brkic,2611,GM,Croatia ,1623,1988,186,,35
187,Raunak Sadhwani ,2611,GM,India ,511,2005,187,,18
188,Aryan Chopra ,2610,GM,India ,277,2001,188,,22
189,Vitaliy Bernadskiy ,2610,GM,Ukraine ,925,1994,189,,29
190,Aleksey Dreev ,2610,GM,Russian Federation ,3360,1969,190,,54
191,Niclas Huschenbeth ,2610,GM,Germany ,761,1992,191,,31
192,Manuel Petrosyan ,2610,GM,Armenia ,732,1998,192,,25
193,Max Warmerdam ,2610,GM,Netherlands ,421,2000,193,,23
194,David Baramidze ,2609,GM,Germany ,1123,1988,194,,35
195,Christian Bauer ,2609,GM,France ,2092,1977,195,,46
196,Boris Alterman ,2608,GM,Israel ,697,1970,196,,53
197,Chithambaram VR Aravindh ,2608,GM,India ,535,1999,197,,24
198,Jonas Buhl Bjerre ,2608,GM,Denmark ,411,2004,198,,19
199,Surya Shekhar Ganguly ,2608,GM,India ,1811,1983,199,NO,40
200,Vadim Milov ,2608,GM,Switzerland ,1583,1972,200,NO,51
